itemid,description,itemparent
prodserv,Catálogo de productos y servicios,\0
prodserv.productos,Administración del catálogo de productos,prodserv
CF10,Listar productos y servicios,prodserv.productos
CF11,Agregar producto,prodserv.productos
CF12,Editar producto,prodserv.productos
CF13,Eliminar producto,prodserv.productos
CF14,Galeria del producto,prodserv.productos
CF15,Importar productos,prodserv.productos
prodserv.linea,Catálogo de Líneas,prodserv
CF20,Listar linea de productos,prodserv.linea
CF21,Agregar linea de productos,prodserv.linea
CF22,Editar linea de productos,prodserv.linea
CF23,Eliminar linea de productos,prodserv.linea
CF24,Importar línea de productos,prodserv.linea
